['招考职位由招录机关编报，招录专业、学历等与职位资格条件相关的问题，由招录机关负责解释。', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['154119', '中国银行保险监督管理委员会广东监管局', '中山银保监分局', '中央国家行政机关参照公务员法管理事业单位', '法规部门一级主任科员及以下', '银保监法律类职位', '其他职位', '主要从事银行保险监管法律法规事务工作', '400146211001', '市（地）级', '市（地）级及以下直属机构职位', '1', '法学类', '本科或硕士研究生', '与最高学历相对应的学位', '不限', '无限制', '无限制', '否', '3:1', '广东省中山市', '广东省中山市', '1.仅限应届毕业生报考；2.本科学历具有国家英语四级证书或国家英语四级成绩在425分以上、研究生学历具有国家英语六级证书或国家英语六级成绩在425分以上；3.请考生报考时在备注栏注明已获得的英语等级证书及成绩；4.有关专业考试信息请参见银保监会网站2021年度招考公告。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '江门银保监分局', '中央国家行政机关参照公务员法管理事业单位', '监管部门一级主任科员及以下', '银保监财经类职位', '其他职位', '主要从事银行保险非现场监管、现场检查及其他监管综合工作', '400144212001', '市（地）级', '市（地）级及以下直属机构职位', '2', '经济学类、金融学类', '仅限硕士研究生', '硕士', '不限', '无限制', '无限制', '否', '3:1', '广东省江门市', '广东省江门市', '1.仅限应届毕业生报考；2.具有国家英语六级证书或国家英语六级成绩在425分以上；3.请考生报考时在备注栏注明已获得的英语等级证书及成绩；4.有关专业考试信息请参见银保监会网站2021年度招考公告。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '佛山银保监分局', '中央国家行政机关参照公务员法管理事业单位', '监管部门一级主任科员及以下', '银保监财经类职位', '其他职位', '主要从事银行保险非现场监管、现场检查及其他监管综合工作', '400144213001', '市（地）级', '市（地）级及以下直属机构职位', '1', '经济学类、金融学类', '本科或硕士研究生', '与最高学历相对应的学位', '不限', '无限制', '无限制', '否', '3:1', '广东省佛山市', '广东省佛山市', '1.仅限应届毕业生报考；2.本科学历具有国家英语四级证书或国家英语四级成绩在425分以上、研究生学历具有国家英语六级证书或国家英语六级成绩在425分以上；3.请考生报考时在备注栏注明已获得的英语等级证书及成绩；4.有关专业考试信息请参见银保监会网站2021年度招考公告。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '湛江银保监分局', '中央国家行政机关参照公务员法管理事业单位', '监管部门一级主任科员及以下', '银保监财经类职位', '其他职位', '主要从事银行保险非现场监管、现场检查及其他监管综合工作', '400144215001', '市（地）级', '市（地）级及以下直属机构职位', '1', '经济学类、金融学类', '本科或硕士研究生', '与最高学历相对应的学位', '不限', '无限制', '无限制', '否', '3:1', '广东省湛江市', '广东省湛江市', '1.仅限应届毕业生报考；2.本科学历具有国家英语四级证书或国家英语四级成绩在425分以上、研究生学历具有国家英语六级证书或国家英语六级成绩在425分以上；3.请考生报考时在备注栏注明已获得的英语等级证书及成绩；4.有关专业考试信息请参见银保监会网站2021年度招考公告。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '湛江银保监分局', '中央国家行政机关参照公务员法管理事业单位', '监管部门一级主任科员及以下', '银保监财经类职位', '其他职位', '主要从事银行保险非现场监管、现场检查及其他监管综合工作', '400144215002', '市（地）级', '市（地）级及以下直属机构职位', '1', '经济学类、金融学类', '仅限本科', '学士', '不限', '无限制', '无限制', '否', '3:1', '广东省湛江市', '广东省湛江市', '1.仅限应届毕业生报考；2.具有国家英语四级证书或国家英语四级成绩在425分以上；3.请考生报考时在备注栏注明已获得的英语等级证书及成绩；4.有关专业考试信息请参见银保监会网站2021年度招考公告。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '湛江银保监分局', '中央国家行政机关参照公务员法管理事业单位', '财会部门一级主任科员及以下', '银保监财会类职位', '其他职位', '主要从事内部财会管理工作及相关监管工作', '400145215001', '市（地）级', '市（地）级及以下直属机构职位', '1', '会计、审计、财务管理', '仅限本科', '学士', '不限', '无限制', '无限制', '否', '3:1', '广东省湛江市', '广东省湛江市', '1.仅限应届毕业生报考；2.具有国家英语四级证书或国家英语四级成绩在425分以上；3.请考生报考时在备注栏注明已获得的英语等级证书及成绩；4.有关专业考试信息请参见银保监会网站2021年度招考公告。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '清远银保监分局', '中央国家行政机关参照公务员法管理事业单位', '法规部门一级主任科员及以下', '银保监法律类职位', '其他职位', '主要从事银行保险监管法律法规事务工作', '400146217001', '市（地）级', '市（地）级及以下直属机构职位', '1', '法学类', '仅限本科', '学士', '不限', '无限制', '无限制', '否', '3:1', '广东省清远市', '广东省清远市', '1.仅限应届毕业生报考；2.具有国家英语四级证书或国家英语四级成绩在425分以上；3.请考生报考时在备注栏注明已获得的英语等级证书及成绩；4.有关专业考试信息请参见银保监会网站2021年度招考公告。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '肇庆银保监分局', '中央国家行政机关参照公务员法管理事业单位', '监管部门一级主任科员及以下', '银保监财经类职位', '其他职位', '主要从事银行保险非现场监管、现场检查及其他监管综合工作', '400144218002', '市（地）级', '市（地）级及以下直属机构职位', '1', '金融学类（不含保险学）', '仅限本科', '学士', '不限', '无限制', '无限制', '否', '3:1', '广东省肇庆市', '广东省肇庆市', '1.仅限应届毕业生报考；2.具有国家英语四级证书或国家英语四级成绩在425分以上；3.请考生报考时在备注栏注明已获得的英语等级证书及成绩；4.有关专业考试信息请参见银保监会网站2021年度招考公告。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '肇庆银保监分局', '中央国家行政机关参照公务员法管理事业单位', '法规部门一级主任科员及以下', '银保监法律类职位', '其他职位', '主要从事银行保险监管法律法规事务工作', '400146218001', '市（地）级', '市（地）级及以下直属机构职位', '1', '法学类', '仅限本科', '学士', '不限', '无限制', '无限制', '否', '3:1', '广东省肇庆市', '广东省肇庆市', '1.仅限应届毕业生报考；2.具有国家英语四级证书或国家英语四级成绩在425分以上；3.请考生报考时在备注栏注明已获得的英语等级证书及成绩；4.有关专业考试信息请参见银保监会网站2021年度招考公告。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '龙川银保监监管组', '中央国家行政机关参照公务员法管理事业单位', '监管部门一级主任科员及以下', '银保监综合类职位', '其他职位', '主要从事银行保险非现场监管、现场检查及其他监管综合工作', '400148309001', '县（区）级及以下', '市（地）级及以下直属机构职位', '1', '统计学类', '仅限本科', '学士', '不限', '无限制', '无限制', '否', '3:1', '广东省河源市', '广东省河源市', '1.仅限应届毕业生报考；2.具有国家英语四级证书或国家英语四级成绩在425分以上；3.请考生报考时在备注栏注明已获得的英语等级证书及成绩；4.有关专业考试信息请参见银保监会网站2021年度招考公告。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

